Date,OFZ_26211
2015-01-08,679.0
2015-01-09,675.365
2015-01-12,650.0
2015-01-13,615.0
2015-01-14,695.5
2015-01-15,653.333
2015-01-16,677.0
2015-01-20,670.261
2015-01-21,675.0
2015-01-22,685.0
2015-01-23,690.0
2015-01-26,680.0
2015-01-27,680.0
2015-01-28,680.0
2015-01-29,650.005
2015-02-02,700.0
2015-02-03,714.9
2015-02-04,710.0
2015-02-05,730.0
2015-02-06,730.0
2015-02-09,750.0
2015-02-10,714.0
2015-02-11,731.402
2015-02-12,731.0
2015-02-13,752.5
2015-02-16,751.5
2015-02-17,701.5
2015-02-18,760.0
2015-02-19,751.0
2015-02-20,737.5
2015-02-24,710.0
2015-02-25,713.0
2015-02-26,712.0
2015-02-27,700.0
2015-03-03,700.0
2015-03-04,710.0
2015-03-05,714.512
2015-03-06,720.001
2015-03-10,714.977
2015-03-11,724.347
2015-03-12,730.0
2015-03-13,724.4
2015-03-16,720.0
2015-03-17,725.0
2015-03-18,725.0
2015-03-19,722.9
2015-03-20,725.994
2015-03-23,727.5
2015-03-24,727.5
2015-03-25,748.199
2015-03-26,829.3
2015-03-27,769.95
2015-03-30,770.0
2015-03-31,760.0
2015-04-01,778.0
2015-04-02,775.0
2015-04-03,775.0
2015-04-06,790.0
2015-04-07,775.0
2015-04-08,777.5
2015-04-09,795.0
2015-04-10,807.0
2015-04-13,807.0
2015-04-15,830.0
2015-04-16,830.0
2015-04-17,813.0
2015-04-20,820.0
2015-04-21,815.0
2015-04-22,797.5
2015-04-23,802.5
2015-04-24,802.0
2015-04-27,800.5
2015-04-28,790.008
2015-04-29,800.504
2015-04-30,823.5
2015-05-05,820.5
2015-05-06,825.5
2015-05-07,831.5
2015-05-12,820.0
2015-05-13,820.0
2015-05-14,823.0
2015-05-15,825.0
2015-05-18,825.0
2015-05-19,826.0
2015-05-20,829.9
2015-05-21,830.05
2015-05-22,839.996
2015-05-25,834.0
2015-05-26,834.909
2015-05-27,837.5
2015-05-28,821.5
2015-05-29,823.102
2015-06-01,822.52
2015-06-02,823.002
2015-06-03,821.7
2015-06-04,810.5
2015-06-05,809.0
2015-06-08,809.0
2015-06-09,817.5
2015-06-10,824.768
2015-06-11,819.0
2015-06-15,817.0
2015-06-16,812.0
2015-06-17,806.0
2015-06-18,820.0
2015-06-19,812.5
2015-06-22,813.5
2015-06-23,810.001
2015-06-26,805.0
2015-06-29,804.0
2015-06-30,809.995
2015-07-01,809.997
2015-07-02,815.0
2015-07-03,807.502
2015-07-06,805.0
2015-07-07,802.0
2015-07-08,806.81
2015-07-09,802.5
2015-07-10,814.632
2015-07-13,811.101
2015-07-14,815.968
2015-07-15,822.49
2015-07-16,835.0
2015-07-17,841.601
2015-07-20,835.5
2015-07-21,830.5
2015-07-22,827.5
2015-07-23,825.5
2015-07-24,820.5
2015-07-27,820.5
2015-07-28,821.5
2015-07-29,823.0
2015-07-30,823.0
2015-07-31,828.76
2015-08-03,815.0
2015-08-04,815.0
2015-08-05,820.9
2015-08-07,820.9
