Date,OFZ_26207
2015-01-05,732.46
2015-01-06,715.0
2015-01-08,698.901
2015-01-09,701.0
2015-01-12,663.001
2015-01-13,643.5
2015-01-14,664.375
2015-01-15,683.198
2015-01-16,717.5
2015-01-19,707.5
2015-01-20,702.5
2015-01-21,705.0
2015-01-22,713.5
2015-01-23,721.333
2015-01-26,700.01
2015-01-27,697.0
2015-01-28,701.5
2015-01-29,698.896
2015-01-30,716.0
2015-02-02,732.5
2015-02-03,750.0
2015-02-04,752.5
2015-02-05,762.494
2015-02-06,763.999
2015-02-09,773.996
2015-02-10,766.99
2015-02-11,763.001
2015-02-12,761.0
2015-02-13,785.006
2015-02-16,792.5
2015-02-17,787.843
2015-02-18,788.5
2015-02-19,769.079
2015-02-20,767.837
2015-02-24,738.5
2015-02-25,741.0
2015-02-26,748.0
2015-02-27,744.0
2015-03-02,732.0
2015-03-03,737.5
2015-03-04,740.4
2015-03-05,752.499
2015-03-06,747.006
2015-03-10,741.0
2015-03-11,743.009
2015-03-12,759.799
2015-03-13,743.9
2015-03-16,727.5
2015-03-17,720.0
2015-03-18,725.0
2015-03-19,732.485
2015-03-20,746.0
2015-03-23,752.498
2015-03-24,750.401
2015-03-25,778.0
2015-03-26,783.02
2015-03-27,788.001
2015-03-30,787.4
2015-03-31,778.496
2015-04-01,795.619
2015-04-02,790.0
2015-04-03,797.501
2015-04-06,804.809
2015-04-07,804.159
2015-04-08,802.5
2015-04-09,816.004
2015-04-10,829.95
2015-04-13,830.0
2015-04-14,839.0
2015-04-15,859.0
2015-04-16,855.51
2015-04-17,840.01
2015-04-20,830.0
2015-04-21,831.0
2015-04-22,837.0
2015-04-23,839.99
2015-04-24,837.0
2015-04-27,837.0
2015-04-28,837.0
2015-04-29,847.5
2015-04-30,854.75
2015-05-05,864.898
2015-05-06,872.656
2015-05-07,872.0
2015-05-08,865.0
2015-05-12,862.5
2015-05-13,867.371
2015-05-14,860.0
2015-05-15,867.25
2015-05-18,871.0
2015-05-19,860.253
2015-05-20,865.0
