Date,SELG
2016-01-04,4.171156406402588
2016-01-05,4.1144609451293945
2016-01-06,4.163057327270508
2016-01-11,4.049666881561279
2016-01-12,4.0253682136535645
2016-01-13,4.033467769622803
2016-01-14,3.7499914169311523
2016-01-15,3.60420298576355
2016-01-18,3.87148118019104
2016-01-19,3.920077085494995
2016-01-20,3.6770973205566406
2016-01-21,3.701395034790039
2016-01-22,3.5961036682128906
2016-01-25,3.652799367904663
2016-01-26,3.6770973205566406
2016-01-27,3.60420298576355
2016-01-28,3.5556068420410156
2016-01-29,3.660898447036743
2016-02-01,3.685196876525879
2016-02-02,3.87958025932312
2016-02-03,3.911978006362915
2016-02-04,3.920077085494995
2016-02-05,4.146858215332031
2016-02-08,4.090163230895996
2016-02-09,4.073964595794678
2016-02-10,4.122560501098633
2016-02-11,4.090163230895996
2016-02-12,4.106362342834473
2016-02-15,4.090163230895996
2016-02-16,4.171156406402588
2016-02-17,4.187355041503906
2016-02-18,4.090163230895996
2016-02-19,4.179255485534668
2016-02-22,7.1193132400512695
2016-02-24,6.965426921844482
2016-02-25,6.779141902923584
2016-02-26,6.2040886878967285
2016-02-29,5.629035949707031
2016-03-01,6.649551868438721
2016-03-02,6.268883228302002
2016-03-03,6.309380531311035
2016-03-04,6.487565994262695
2016-03-07,6.438969612121582
2016-03-09,7.686266899108887
2016-03-10,7.2813005447387695
2016-03-11,6.973525524139404
2016-03-14,6.398472785949707
2016-03-15,6.017804145812988
2016-03-16,6.0906982421875
2016-03-17,6.131195068359375
2016-03-18,6.163592338562012
2016-03-21,5.9773077964782715
2016-03-22,5.82342004776001
2016-03-23,5.847718715667725
2016-03-24,5.548043251037598
2016-03-25,5.556142330169678
2016-03-28,5.5885396003723145
2016-03-29,5.499446868896484
2016-03-30,5.685731887817383
2016-03-31,5.5885396003723145
2016-04-01,5.572340965270996
2016-04-04,5.434652805328369
2016-04-05,5.507546424865723
2016-04-06,5.5885396003723145
2016-04-07,5.653334140777588
2016-04-08,5.572340965270996
2016-04-11,5.750525951385498
2016-04-12,5.791023254394531
2016-04-13,6.042102336883545
2016-04-14,5.920612335205078
2016-04-15,5.742427349090576
2016-04-18,5.766724586486816
2016-04-19,5.7262282371521
2016-04-20,6.025903224945068
2016-04-21,5.863916873931885
2016-04-22,5.969208717346191
2016-04-25,5.799122333526611
2016-04-26,5.791023254394531
2016-04-27,5.791023254394531
2016-04-28,6.252684593200684
2016-04-29,6.00160551071167
2016-05-04,5.969208717346191
2016-05-05,5.920612335205078
2016-05-06,5.912513732910156
2016-05-10,5.774824142456055
2016-05-11,5.791023254394531
2016-05-12,5.766724586486816
2016-05-13,5.653334140777588
2016-05-16,5.799122333526611
2016-05-17,6.050201892852783
2016-05-18,6.19598913192749
2016-05-19,5.961109161376953
2016-05-20,6.058300971984863
2016-05-23,6.082598686218262
2016-05-24,5.969208717346191
2016-05-25,6.025903224945068
2016-05-26,6.074499607086182
2016-05-27,6.212188243865967
2016-05-30,6.293181419372559
2016-05-31,6.34987735748291
2016-06-01,6.333678245544434
2016-06-02,6.123095512390137
2016-06-03,6.066400051116943
2016-06-06,5.969208717346191
2016-06-07,6.074499607086182
2016-06-08,5.985406875610352
2016-06-09,6.17979097366333
2016-06-10,5.993506908416748
2016-06-14,6.106897354125977
2016-06-15,6.017804145812988
2016-06-16,5.9773077964782715
2016-06-17,6.050201892852783
2016-06-20,6.00160551071167
2016-06-21,6.017804145812988
2016-06-22,5.944910526275635
2016-06-23,5.985406875610352
2016-06-24,6.042102336883545
2016-06-27,6.123095512390137
2016-06-28,5.993506908416748
2016-06-29,6.034002780914307
2016-06-30,5.9773077964782715
2016-07-01,5.993506908416748
2016-07-04,6.074499607086182
2016-07-05,6.058300971984863
2016-07-06,6.163592338562012
2016-07-07,6.212188243865967
2016-07-08,6.155492782592773
2016-07-11,6.155492782592773
2016-07-12,6.139293670654297
2016-07-13,6.155492782592773
2016-07-14,6.147393703460693
2016-07-15,6.171691417694092
2016-07-18,6.163592338562012
2016-07-19,6.155492782592773
2016-07-20,6.479466438293457
2016-07-21,7.28939962387085
2016-07-22,7.005922317504883
2016-07-25,6.317480087280273
2016-07-26,6.317480087280273
2016-07-27,6.317480087280273
2016-07-28,6.495665073394775
2016-07-29,6.5928568840026855
2016-08-01,6.560460090637207
2016-08-02,6.560460090637207
2016-08-03,6.438969612121582
2016-08-04,6.430870532989502
2016-08-05,6.414671897888184
2016-08-08,6.479466438293457
2016-08-09,6.479466438293457
2016-08-10,6.5928568840026855
2016-08-11,6.681949615478516
2016-08-12,6.568558692932129
2016-08-15,6.5928568840026855
2016-08-16,6.5523600578308105
2016-08-17,6.511863708496094
2016-08-18,6.528062343597412
2016-08-19,6.528062343597412
2016-08-22,6.495665073394775
2016-08-23,6.438969612121582
2016-08-24,6.463267803192139
2016-08-25,6.471366882324219
2016-08-26,6.479466438293457
2016-08-29,6.4551682472229
2016-08-30,6.3660759925842285
2016-08-31,6.398472785949707
2016-09-01,6.398472785949707
2016-09-02,6.147393703460693
2016-09-05,6.171691417694092
2016-09-06,6.0906982421875
2016-09-07,6.139293670654297
2016-09-08,6.074499607086182
2016-09-09,6.18789005279541
2016-09-12,6.106897354125977
2016-09-13,6.00160551071167
2016-09-14,6.00160551071167
2016-09-15,5.993506908416748
2016-09-16,6.00160551071167
2016-09-19,5.9368109703063965
2016-09-20,5.9773077964782715
2016-09-21,6.114996433258057
2016-09-22,6.3255791664123535
2016-09-23,6.2850823402404785
2016-09-26,6.066400051116943
2016-09-27,6.0906982421875
