Date,IMOEX
2016-01-04,1734.56005859375
2016-01-05,1754.1300048828125
2016-01-06,1748.5699462890625
2016-01-11,1682.5400390625
2016-01-12,1690.300048828125
2016-01-13,1684.780029296875
2016-01-14,1680.77001953125
2016-01-15,1608.3599853515625
2016-01-18,1622.4300537109375
2016-01-19,1645.56005859375
2016-01-20,1630.3900146484375
2016-01-21,1677.18994140625
2016-01-22,1717.97998046875
2016-01-25,1716.56005859375
2016-01-26,1705.010009765625
2016-01-27,1747.5699462890625
2016-01-28,1771.9300537109375
2016-01-29,1784.9200439453125
2016-02-01,1773.2099609375
2016-02-02,1758.260009765625
2016-02-03,1746.3499755859375
2016-02-04,1787.9300537109375
2016-02-05,1780.5899658203125
2016-02-08,1744.27001953125
2016-02-09,1723.3599853515625
2016-02-10,1730.8299560546875
2016-02-11,1711.5799560546875
2016-02-12,1726.0400390625
2016-02-15,1738.5400390625
2016-02-16,1753.8599853515625
2016-02-17,1770.31005859375
2016-02-18,1807.2099609375
2016-02-19,1793.3699951171875
2016-02-22,1822.3800048828125
2016-02-24,1797.27001953125
2016-02-25,1803.8900146484375
2016-02-26,1816.72998046875
2016-02-29,1840.1700439453125
2016-03-01,1844.1700439453125
2016-03-02,1832.8399658203125
2016-03-03,1858.68994140625
2016-03-04,1878.2900390625
2016-03-07,1909.5699462890625
2016-03-09,1883.0
2016-03-10,1884.6300048828125
2016-03-11,1876.5400390625
2016-03-14,1865.31005859375
2016-03-15,1855.06005859375
2016-03-16,1871.199951171875
2016-03-17,1890.7900390625
2016-03-18,1914.02001953125
2016-03-21,1904.5
2016-03-22,1903.469970703125
2016-03-23,1879.8900146484375
2016-03-24,1866.6700439453125
2016-03-28,1849.31005859375
2016-03-29,1845.199951171875
2016-03-30,1868.0999755859375
2016-03-31,1871.1500244140625
2016-04-01,1856.77001953125
2016-04-04,1866.6400146484375
2016-04-05,1857.0899658203125
2016-04-06,1860.1700439453125
2016-04-07,1858.8499755859375
2016-04-08,1877.27001953125
2016-04-11,1906.9000244140625
2016-04-12,1899.260009765625
2016-04-13,1932.800048828125
2016-04-14,1915.8499755859375
2016-04-15,1907.780029296875
2016-04-18,1892.6400146484375
2016-04-19,1930.1400146484375
2016-04-20,1960.1800537109375
2016-04-21,1950.0799560546875
2016-04-22,1967.260009765625
2016-04-25,1955.469970703125
2016-04-26,1946.550048828125
2016-04-27,1934.77001953125
2016-04-28,1969.8900146484375
2016-04-29,1953.050048828125
2016-05-04,1925.5799560546875
2016-05-05,1906.47998046875
2016-05-06,1901.56005859375
2016-05-10,1885.3399658203125
2016-05-11,1909.050048828125
2016-05-12,1901.9000244140625
2016-05-13,1907.18994140625
2016-05-16,1915.3299560546875
2016-05-17,1909.0
2016-05-18,1917.239990234375
2016-05-19,1891.52001953125
2016-05-20,1891.3299560546875
2016-05-23,1868.4300537109375
2016-05-24,1884.1199951171875
2016-05-25,1898.75
2016-05-26,1914.31005859375
2016-05-27,1927.5799560546875
2016-05-30,1935.5400390625
2016-05-31,1899.010009765625
2016-06-01,1893.1800537109375
2016-06-02,1890.780029296875
2016-06-03,1886.8399658203125
2016-06-06,1915.5400390625
2016-06-07,1951.260009765625
2016-06-08,1951.550048828125
2016-06-09,1934.9200439453125
2016-06-10,1903.6099853515625
2016-06-14,1885.9200439453125
2016-06-15,1889.75
2016-06-16,1869.780029296875
2016-06-17,1877.0699462890625
2016-06-20,1902.699951171875
2016-06-21,1904.02001953125
2016-06-22,1896.699951171875
2016-06-23,1919.27001953125
2016-06-24,1884.4100341796875
2016-06-27,1841.72998046875
2016-06-28,1857.22998046875
2016-06-29,1888.1500244140625
2016-06-30,1891.0899658203125
2016-07-01,1896.6199951171875
2016-07-04,1907.47998046875
2016-07-05,1895.6400146484375
2016-07-06,1879.4200439453125
2016-07-07,1882.4100341796875
2016-07-08,1894.3499755859375
2016-07-11,1913.1199951171875
2016-07-12,1938.3599853515625
2016-07-13,1935.8800048828125
2016-07-14,1942.4599609375
2016-07-15,1940.8499755859375
2016-07-18,1936.0699462890625
2016-07-19,1915.8900146484375
2016-07-20,1915.0899658203125
2016-07-21,1927.699951171875
2016-07-22,1926.9000244140625
2016-07-25,1931.780029296875
2016-07-26,1938.52001953125
2016-07-27,1938.6500244140625
2016-07-28,1954.449951171875
2016-07-29,1944.6199951171875
2016-08-01,1947.3599853515625
2016-08-02,1912.68994140625
2016-08-03,1919.1500244140625
2016-08-04,1944.93994140625
2016-08-05,1944.31005859375
2016-08-08,1956.989990234375
2016-08-09,1956.4200439453125
2016-08-10,1942.6700439453125
2016-08-11,1952.1800537109375
2016-08-12,1967.1800537109375
2016-08-15,1977.280029296875
2016-08-16,1975.800048828125
2016-08-17,1969.18994140625
2016-08-18,1970.0699462890625
2016-08-19,1959.719970703125
2016-08-22,1979.0899658203125
2016-08-23,1989.510009765625
2016-08-24,1983.5899658203125
2016-08-25,1985.56005859375
2016-08-26,1993.3499755859375
2016-08-29,1986.719970703125
2016-08-30,1985.68994140625
2016-08-31,1971.5899658203125
2016-09-01,1976.9100341796875
2016-09-02,2003.77001953125
2016-09-05,2017.3800048828125
2016-09-06,2039.530029296875
2016-09-07,2053.75
2016-09-08,2050.77001953125
2016-09-09,2028.25
2016-09-12,2019.9000244140625
2016-09-13,2004.5
2016-09-14,2004.47998046875
2016-09-15,1996.5799560546875
2016-09-16,1981.9599609375
2016-09-19,1986.969970703125
2016-09-20,1991.780029296875
2016-09-21,1997.6700439453125
2016-09-22,2025.300048828125
2016-09-23,2011.8299560546875
