Date,OFZ_26209
2016-01-26,878.0
2016-01-27,885.3
2016-01-28,895.812
2016-01-29,890.0
2016-02-01,881.989
2016-02-02,878.0
2016-02-03,884.002
2016-02-04,887.0
2016-02-05,888.5
2016-02-08,883.0
2016-02-09,879.211
2016-02-10,884.955
2016-02-11,882.986
2016-02-12,884.499
2016-02-15,889.0
2016-02-16,884.0
2016-02-17,888.876
2016-02-18,896.09
2016-02-19,898.05
2016-02-20,898.629
2016-02-24,899.999
2016-02-25,908.9
2016-02-26,908.5
2016-02-29,911.5
2016-03-01,921.5
2016-03-02,922.941
2016-03-03,925.22
2016-03-04,929.75
2016-03-07,928.005
2016-03-09,927.682
2016-03-10,926.36
2016-03-11,925.01
2016-03-14,921.15
2016-03-15,919.18
2016-03-16,923.5
2016-03-17,936.943
2016-03-18,942.849
2016-03-21,939.5
2016-03-22,939.49
2016-03-23,936.479
2016-03-24,928.4
2016-03-25,932.0
2016-03-28,930.493
2016-03-29,929.0
2016-03-30,934.5
2016-03-31,932.659
2016-04-01,932.1
2016-04-04,933.99
2016-04-05,930.428
2016-04-06,931.5
2016-04-07,926.75
2016-04-08,928.998
2016-04-11,927.3
2016-04-12,929.0
2016-04-13,927.8
2016-04-14,931.5
2016-04-15,929.571
2016-04-18,927.998
2016-04-19,929.8
2016-04-20,934.97
2016-04-21,932.01
2016-04-22,932.033
2016-04-25,931.0
2016-04-26,930.502
2016-04-27,930.201
2016-04-28,935.001
2016-04-29,945.979
2016-05-04,939.225
2016-05-05,938.297
2016-05-06,937.5
2016-05-10,938.0
2016-05-11,944.99
2016-05-12,944.667
2016-05-13,946.0
2016-05-16,944.51
2016-05-17,943.5
2016-05-18,940.112
2016-05-19,936.571
2016-05-20,939.511
2016-05-23,938.01
2016-05-24,939.001
2016-05-25,939.011
2016-05-26,938.51
2016-05-27,936.702
2016-05-30,936.9
2016-05-31,937.99
2016-06-01,932.985
2016-06-02,932.511
2016-06-03,938.195
2016-06-06,941.855
2016-06-07,943.5
2016-06-08,943.512
2016-06-09,945.023
2016-06-10,947.012
2016-06-14,945.499
2016-06-15,945.01
2016-06-16,944.299
2016-06-17,945.0
2016-06-20,950.101
2016-06-21,948.9
2016-06-22,953.002
2016-06-23,955.503
2016-06-24,951.919
2016-06-27,957.0
2016-06-28,957.51
2016-06-29,960.617
2016-06-30,964.12
2016-07-01,965.003
2016-07-04,966.544
2016-07-05,960.0
2016-07-06,958.063
2016-07-07,955.012
2016-07-08,953.013
2016-07-11,957.001
2016-07-12,960.597
2016-07-13,957.502
2016-07-14,961.495
2016-07-15,960.2
2016-07-18,956.511
2016-07-19,955.6
2016-07-20,954.0
2016-07-21,955.999
2016-07-22,953.011
2016-07-25,952.5
2016-07-26,953.001
2016-07-27,955.89
2016-07-28,957.873
2016-07-29,959.827
2016-08-01,961.308
2016-08-02,958.99
2016-08-03,957.0
2016-08-04,958.978
2016-08-05,961.5
2016-08-08,961.521
2016-08-09,965.5
2016-08-10,964.0
2016-08-11,964.711
2016-08-12,962.215
2016-08-15,962.501
2016-08-16,964.681
2016-08-17,960.502
2016-08-18,962.501
2016-08-19,964.957
2016-08-22,962.939
2016-08-23,960.501
2016-08-24,962.51
2016-08-25,963.012
2016-08-26,965.979
2016-08-29,962.5
2016-08-30,966.743
2016-08-31,967.366
2016-09-01,970.0
2016-09-02,972.499
2016-09-05,975.2
2016-09-06,975.876
