Date,PHOR
2016-01-04,1744.412841796875
2016-01-05,1735.169921875
2016-01-06,1741.3321533203125
2016-01-11,1731.4727783203125
2016-01-12,1741.3321533203125
2016-01-13,1749.958251953125
2016-01-14,1716.6844482421875
2016-01-15,1642.1263427734375
2016-01-18,1656.9150390625
2016-01-19,1690.1890869140625
2016-01-20,1682.1776123046875
2016-01-21,1730.2403564453125
2016-01-22,1804.6185302734375
2016-01-25,1749.150146484375
2016-01-26,1711.3306884765625
2016-01-27,1722.6766357421875
2016-01-28,1704.3973388671875
2016-01-29,1715.7430419921875
2016-02-01,1732.76171875
2016-02-02,1735.2828369140625
2016-02-03,1732.76171875
2016-02-04,1720.78515625
2016-02-05,1708.1795654296875
2016-02-08,1692.421630859375
2016-02-09,1697.464111328125
2016-02-10,1682.9659423828125
2016-02-11,1686.117919921875
2016-02-12,1677.2933349609375
2016-02-15,1645.77685546875
2016-02-16,1617.41259765625
2016-02-17,1626.2373046875
2016-02-18,1635.0616455078125
2016-02-19,1644.5164794921875
2016-02-22,1659.6444091796875
2016-02-24,1647.66796875
2016-02-25,1670.359375
2016-02-26,1686.117919921875
2016-02-29,1759.2353515625
2016-03-01,1788.86083984375
2016-03-02,1756.7142333984375
2016-03-03,1819.1163330078125
2016-03-04,1810.9217529296875
2016-03-07,1821.63720703125
2016-03-09,1812.182861328125
2016-03-10,1798.3153076171875
2016-03-11,1803.988525390625
2016-03-14,1793.273193359375
2016-03-15,1812.813232421875
2016-03-16,1808.4005126953125
2016-03-17,1812.182861328125
2016-03-18,1786.9698486328125
2016-03-21,1794.5335693359375
2016-03-22,1790.121337890625
2016-03-23,1799.5760498046875
2016-03-24,1780.666259765625
2016-03-25,1785.708984375
2016-03-28,1776.25439453125
2016-03-29,1771.21142578125
2016-03-30,1747.259033203125
2016-03-31,1764.9080810546875
2016-04-01,1748.5198974609375
2016-04-04,1767.4295654296875
2016-04-05,1793.9029541015625
2016-04-06,1762.3868408203125
2016-04-07,1744.7379150390625
2016-04-08,1756.7142333984375
2016-04-11,1737.174072265625
2016-04-12,1700.6153564453125
2016-04-13,1728.349609375
2016-04-14,1712.591552734375
2016-04-15,1726.4588623046875
2016-04-18,1788.86083984375
2016-04-19,1792.6427001953125
2016-04-20,1843.69873046875
2016-04-21,1857.566162109375
2016-04-22,1837.3956298828125
2016-04-25,1805.8795166015625
2016-04-26,1812.182861328125
2016-04-27,1797.0548095703125
2016-04-28,1804.6185302734375
2016-04-29,1788.86083984375
2016-05-04,1808.4005126953125
2016-05-05,1795.1636962890625
2016-05-06,1793.9029541015625
2016-05-10,1824.15869140625
2016-05-11,1843.69873046875
2016-05-12,1790.121337890625
2016-05-13,1848.1114501953125
2016-05-16,1812.813232421875
2016-05-17,1817.85546875
2016-05-18,1821.0072021484375
2016-05-19,1815.9644775390625
2016-05-20,1820.3768310546875
2016-05-23,1827.3101806640625
2016-05-24,1840.546875
2016-05-25,1841.8077392578125
2016-05-26,1830.462158203125
2016-05-27,1838.026123046875
2016-05-30,1856.305419921875
2016-05-31,1815.334716796875
2016-06-01,1749.150146484375
2016-06-02,1746.6290283203125
2016-06-03,1755.45361328125
2016-06-06,1790.121337890625
2016-06-07,1793.273193359375
2016-06-08,1780.666259765625
2016-06-09,1775.5201416015625
2016-06-10,1765.8704833984375
2016-06-14,1780.023193359375
2016-06-15,1756.2205810546875
2016-06-16,1783.23974609375
2016-06-17,1787.7425537109375
2016-06-20,1775.5201416015625
2016-06-21,1792.245849609375
2016-06-22,1773.5897216796875
2016-06-23,1761.367431640625
2016-06-24,1787.7425537109375
2016-06-27,1781.3099365234375
2016-06-28,1793.5328369140625
2016-06-29,1791.602783203125
2016-06-30,1773.5897216796875
2016-07-01,1763.9405517578125
2016-07-04,1748.5010986328125
2016-07-05,1704.1131591796875
2016-07-06,1659.7254638671875
2016-07-07,1689.3172607421875
2016-07-08,1668.0885009765625
2016-07-11,1658.4388427734375
2016-07-12,1630.7767333984375
2016-07-13,1621.126953125
2016-07-14,1619.197265625
2016-07-15,1665.5147705078125
2016-07-18,1703.47021484375
2016-07-19,1703.47021484375
2016-07-20,1699.6103515625
2016-07-21,1693.1771240234375
2016-07-22,1704.1131591796875
2016-07-25,1706.6861572265625
2016-07-26,1736.9217529296875
2016-07-27,1730.4888916015625
2016-07-28,1736.9217529296875
2016-07-29,1746.5712890625
2016-08-01,1751.0743408203125
2016-08-02,1745.9283447265625
2016-08-03,1753.0042724609375
2016-08-04,1754.2908935546875
2016-08-05,1750.431396484375
2016-08-08,1791.919921875
2016-08-09,1758.3336181640625
2016-08-10,1752.4066162109375
2016-08-11,1741.21142578125
2016-08-12,1753.72412109375
2016-08-15,1749.11376953125
2016-08-16,1735.9432373046875
2016-08-17,1726.0645751953125
2016-08-18,1698.4058837890625
2016-08-19,1701.6982421875
2016-08-22,1710.259765625
2016-08-23,1711.5765380859375
2016-08-24,1703.67431640625
2016-08-25,1697.7469482421875
2016-08-26,1693.13720703125
2016-08-29,1692.478271484375
2016-08-30,1695.1126708984375
2016-08-31,1703.0152587890625
2016-09-01,1702.357421875
2016-09-02,1706.3084716796875
2016-09-05,1713.5521240234375
2016-09-06,1707.6256103515625
2016-09-07,1703.0152587890625
2016-09-08,1687.8687744140625
2016-09-09,1702.357421875
2016-09-12,1681.283203125
2016-09-13,1677.33203125
2016-09-14,1677.99072265625
2016-09-15,1677.33203125
2016-09-16,1679.966064453125
2016-09-19,1691.820068359375
2016-09-20,1692.478271484375
2016-09-21,1711.5765380859375
2016-09-22,1694.4539794921875
