Date,RASP
2016-01-04,24.074283599853516
2016-01-05,23.76729965209961
2016-01-06,23.96926498413086
2016-01-11,23.26642608642578
2016-01-12,22.57166290283203
2016-01-13,22.337383270263672
2016-01-14,21.174060821533203
2016-01-15,20.576244354248047
2016-01-18,20.48737907409668
2016-01-19,20.293493270874023
2016-01-20,20.463144302368164
2016-01-21,20.535850524902344
2016-01-22,21.093276977539062
2016-01-25,20.826679229736328
2016-01-26,20.850914001464844
2016-01-27,20.79436683654785
2016-01-28,20.560087203979492
2016-01-29,20.325807571411133
2016-02-01,20.39851188659668
2016-02-02,20.45506477355957
2016-02-03,20.762052536010742
2016-02-04,21.133668899536133
2016-02-05,21.89305877685547
2016-02-08,21.973846435546875
2016-02-09,20.88323211669922
2016-02-10,20.64087677001953
2016-02-11,20.1480770111084
2016-02-12,20.115760803222656
2016-02-15,20.196548461914062
2016-02-16,20.293493270874023
2016-02-17,20.576244354248047
2016-02-18,20.88323211669922
2016-02-19,20.568164825439453
2016-02-22,20.5924015045166
2016-02-24,20.382356643676758
2016-02-25,20.293493270874023
2016-02-26,20.196548461914062
2016-02-29,20.18039321899414
2016-03-01,20.58432388305664
2016-03-02,20.341964721679688
2016-03-03,20.24502182006836
2016-03-04,20.430828094482422
2016-03-07,20.511615753173828
2016-03-09,20.438907623291016
2016-03-10,20.24502182006836
2016-03-11,20.576244354248047
2016-03-14,20.576244354248047
2016-03-15,20.68126678466797
2016-03-16,20.49545669555664
2016-03-17,20.42275047302246
2016-03-18,20.325807571411133
2016-03-21,20.438907623291016
2016-03-22,20.325807571411133
2016-03-23,20.414670944213867
2016-03-24,20.374277114868164
2016-03-25,20.358125686645508
2016-03-28,20.366199493408203
2016-03-29,20.28541374206543
2016-03-30,20.277334213256836
2016-03-31,19.95418930053711
2016-04-01,19.065540313720703
2016-04-04,19.291746139526367
2016-04-05,19.146331787109375
2016-04-06,19.146331787109375
2016-04-07,18.992835998535156
2016-04-08,19.396764755249023
2016-04-11,20.075368881225586
2016-04-12,21.973846435546875
2016-04-13,21.90921401977539
2016-04-14,21.351791381835938
2016-04-15,22.595897674560547
2016-04-18,23.880399703979492
2016-04-19,23.015989303588867
2016-04-20,23.30681800842285
2016-04-21,22.822099685668945
2016-04-22,22.717079162597656
2016-04-25,23.37952423095703
2016-04-26,22.90288734436035
2016-04-27,23.629961013793945
2016-04-28,24.80136489868164
2016-04-29,24.17930793762207
2016-05-04,23.9127140045166
2016-05-05,23.629961013793945
2016-05-06,23.26642608642578
2016-05-10,22.111183166503906
2016-05-11,22.103103637695312
2016-05-12,21.779958724975586
2016-05-13,21.271007537841797
2016-05-16,21.392183303833008
2016-05-17,21.3598690032959
2016-05-18,21.4487361907959
2016-05-19,22.2081241607666
2016-05-20,22.127338409423828
2016-05-23,22.822099685668945
2016-05-24,22.830177307128906
2016-05-25,22.822099685668945
2016-05-26,22.329303741455078
2016-05-27,22.070791244506836
2016-05-30,22.09502601623535
2016-05-31,21.884981155395508
2016-06-01,21.335634231567383
2016-06-02,21.246767044067383
2016-06-03,21.19829750061035
2016-06-06,21.400264739990234
2016-06-07,21.262928009033203
2016-06-08,21.311397552490234
2016-06-09,20.68126678466797
2016-06-10,20.325807571411133
2016-06-14,20.446983337402344
2016-06-15,20.39851188659668
2016-06-16,19.95418930053711
2016-06-17,20.05113410949707
2016-06-20,19.711833953857422
2016-06-21,21.343711853027344
2016-06-22,21.408342361450195
2016-06-23,22.216201782226562
2016-06-24,22.09502601623535
2016-06-27,21.52144432067871
2016-06-28,22.175811767578125
2016-06-29,22.248517990112305
2016-06-30,23.015989303588867
2016-07-01,23.751140594482422
2016-07-04,24.413589477539062
2016-07-05,23.258344650268555
2016-07-06,22.797863006591797
2016-07-07,22.42624855041504
2016-07-08,22.078868865966797
2016-07-11,23.250268936157227
2016-07-12,23.02406883239746
2016-07-13,23.072538375854492
2016-07-14,22.983673095703125
2016-07-15,22.7009220123291
2016-07-18,23.226030349731445
2016-07-19,23.815773010253906
2016-07-20,23.823850631713867
2016-07-21,23.928871154785156
2016-07-22,23.5087833404541
2016-07-25,23.387605667114258
2016-07-26,23.662275314331055
2016-07-27,27.22494888305664
2016-07-28,27.13608169555664
2016-07-29,26.780622482299805
2016-08-01,27.507699966430664
2016-08-02,26.821016311645508
2016-08-03,27.459228515625
2016-08-04,28.549840927124023
2016-08-05,28.380189895629883
2016-08-08,27.935863494873047
2016-08-09,27.645034790039062
2016-08-10,27.733898162841797
2016-08-11,27.91162872314453
2016-08-12,28.905303955078125
2016-08-15,29.236522674560547
2016-08-16,28.945693969726562
2016-08-17,29.406177520751953
2016-08-18,30.472553253173828
2016-08-19,31.5389347076416
2016-08-22,32.29024124145508
2016-08-23,32.43565368652344
2016-08-24,33.324302673339844
2016-08-25,33.227359771728516
2016-08-26,31.50661849975586
2016-08-29,31.627796173095703
2016-08-30,32.274085998535156
2016-08-31,32.24177551269531
2016-09-01,32.088279724121094
2016-09-02,31.409671783447266
2016-09-05,31.59547996520996
2016-09-06,32.799198150634766
2016-09-07,34.729984283447266
2016-09-08,36.84658432006836
2016-09-09,37.16164779663086
2016-09-12,38.29266357421875
2016-09-13,37.5494270324707
2016-09-14,38.76121520996094
2016-09-15,38.89047622680664
2016-09-16,37.88064956665039
2016-09-19,40.91820526123047
2016-09-20,40.4254150390625
2016-09-21,40.393096923828125
2016-09-22,43.6164665222168
2016-09-23,45.21603012084961
2016-09-26,48.1485710144043
2016-09-27,44.868656158447266
2016-09-28,45.95927047729492
2016-09-29,45.11909103393555
