Date,PIKK
2016-01-04,174.59945678710938
2016-01-05,172.73597717285156
2016-01-06,172.1688232421875
2016-01-11,169.41412353515625
2016-01-12,170.22433471679688
2016-01-13,171.5206756591797
2016-01-14,170.143310546875
2016-01-15,171.43963623046875
2016-01-18,171.1965789794922
2016-01-19,170.143310546875
2016-01-20,172.1688232421875
2016-01-21,170.22433471679688
2016-01-22,170.143310546875
2016-01-25,170.22433471679688
2016-01-26,171.7637176513672
2016-01-27,177.11109924316406
2016-01-28,173.38414001464844
2016-01-29,170.22433471679688
2016-02-01,174.1943359375
2016-02-02,173.22210693359375
2016-02-03,170.71046447753906
2016-02-04,176.94903564453125
2016-02-05,170.71046447753906
2016-02-08,169.009033203125
2016-02-09,172.24986267089844
2016-02-10,171.1965789794922
2016-02-11,169.41412353515625
2016-02-12,170.143310546875
2016-02-15,168.52288818359375
2016-02-16,166.4973907470703
2016-02-17,169.0900421142578
2016-02-18,178.97454833984375
2016-02-19,185.5372314453125
2016-02-22,198.09544372558594
2016-02-24,202.5515594482422
2016-02-25,202.5515594482422
2016-02-26,200.6070556640625
2016-02-29,202.71359252929688
2016-03-01,202.5515594482422
2016-03-02,202.5515594482422
2016-03-03,202.5515594482422
2016-03-04,202.71359252929688
2016-03-07,206.5215606689453
2016-03-09,206.197509765625
2016-03-10,202.63258361816406
2016-03-11,202.71359252929688
2016-03-14,202.71359252929688
2016-03-15,200.364013671875
2016-03-16,203.60484313964844
2016-03-17,203.76687622070312
2016-03-18,202.5515594482422
2016-03-21,202.63258361816406
2016-03-22,202.5515594482422
2016-03-23,204.4150390625
2016-03-24,204.4150390625
2016-03-25,204.8201446533203
2016-03-28,202.14646911621094
2016-03-29,202.63258361816406
2016-03-30,203.92889404296875
2016-03-31,203.60484313964844
2016-04-01,203.52381896972656
2016-04-04,204.98219299316406
2016-04-05,202.71359252929688
2016-04-06,202.71359252929688
2016-04-07,205.46829223632812
2016-04-08,202.9566650390625
2016-04-11,202.5515594482422
2016-04-12,202.87562561035156
2016-04-13,202.79461669921875
2016-04-14,202.87562561035156
2016-04-15,203.52381896972656
2016-04-18,202.9566650390625
2016-04-19,203.19972229003906
2016-04-20,204.49606323242188
2016-04-21,202.79461669921875
2016-04-22,203.52381896972656
2016-04-25,202.5515594482422
2016-04-26,203.92889404296875
2016-04-27,203.28074645996094
2016-04-28,210.6536102294922
2016-04-29,202.79461669921875
2016-05-04,202.5515594482422
2016-05-05,202.5515594482422
2016-05-06,203.76687622070312
2016-05-10,203.3617706298828
2016-05-11,207.81788635253906
2016-05-12,204.8201446533203
2016-05-13,202.87562561035156
2016-05-16,203.3617706298828
2016-05-17,204.17198181152344
2016-05-18,203.92889404296875
2016-05-19,203.03768920898438
2016-05-20,204.90115356445312
2016-05-23,208.95217895507812
2016-05-24,208.3850555419922
2016-05-25,208.22300720214844
2016-05-26,202.79461669921875
2016-05-27,203.19972229003906
2016-05-30,205.63034057617188
2016-05-31,203.3617706298828
2016-06-01,204.90115356445312
2016-06-02,204.33401489257812
2016-06-03,202.47055053710938
2016-06-06,204.4150390625
2016-06-07,202.87562561035156
2016-06-08,202.5515594482422
2016-06-09,202.5515594482422
2016-06-10,202.5515594482422
2016-06-14,201.6603240966797
2016-06-15,200.4450225830078
2016-06-16,199.22970581054688
2016-06-17,203.3617706298828
2016-06-20,202.5515594482422
2016-06-21,202.5515594482422
2016-06-22,200.28297424316406
2016-06-23,202.5515594482422
2016-06-24,202.5515594482422
2016-06-27,202.5515594482422
2016-06-28,202.5515594482422
2016-06-29,202.5515594482422
2016-06-30,202.5515594482422
2016-07-01,201.9844207763672
2016-07-04,202.3895263671875
2016-07-05,202.5515594482422
2016-07-06,201.6603240966797
2016-07-07,202.14646911621094
2016-07-08,197.447265625
2016-07-11,202.5515594482422
2016-07-12,203.3617706298828
2016-07-13,202.5515594482422
2016-07-14,202.5515594482422
2016-07-15,200.68809509277344
2016-07-18,200.12094116210938
2016-07-19,200.5260467529297
2016-07-20,202.14646911621094
2016-07-21,202.14646911621094
2016-07-22,202.14646911621094
2016-07-25,202.30850219726562
2016-07-26,202.9566650390625
2016-07-27,202.5515594482422
2016-07-28,202.5515594482422
2016-07-29,202.5515594482422
2016-08-01,202.5515594482422
2016-08-02,202.5515594482422
2016-08-03,202.5515594482422
2016-08-04,202.5515594482422
2016-08-05,202.63258361816406
2016-08-08,205.06320190429688
2016-08-09,202.63258361816406
2016-08-10,203.03768920898438
2016-08-11,203.03768920898438
2016-08-12,203.52381896972656
2016-08-15,209.68136596679688
2016-08-16,209.60037231445312
2016-08-17,210.16749572753906
2016-08-18,208.14198303222656
2016-08-19,208.14198303222656
2016-08-22,209.03321838378906
2016-08-23,214.70465087890625
