Date,SNGSP
2016-01-04,23.214420318603516
2016-01-05,23.326004028320312
2016-01-06,23.166597366333008
2016-01-11,23.060335159301758
2016-01-12,23.38976287841797
2016-01-13,23.326004028320312
2016-01-14,23.48540687561035
2016-01-15,22.847793579101562
2016-01-18,23.910480499267578
2016-01-19,24.28242301940918
2016-01-20,24.02737808227539
2016-01-21,24.65436553955078
2016-01-22,24.37540626525879
2016-01-25,24.09644889831543
2016-01-26,23.07627296447754
2016-01-27,23.490718841552734
2016-01-28,23.424299240112305
2016-01-29,24.43916893005371
2016-02-01,24.28242301940918
2016-02-02,23.697940826416016
2016-02-03,23.48540687561035
2016-02-04,23.490718841552734
2016-02-05,23.538541793823242
2016-02-08,22.874359130859375
2016-02-09,22.92483901977539
2016-02-10,22.95406150817871
2016-02-11,22.645883560180664
2016-02-12,22.95406150817871
2016-02-15,23.48274803161621
2016-02-16,23.604957580566406
2016-02-17,23.697940826416016
2016-02-18,23.644805908203125
2016-02-19,23.58636474609375
2016-02-22,23.615585327148438
2016-02-24,23.432270050048828
2016-02-25,23.575735092163086
2016-02-26,23.54916763305664
2016-02-29,23.48274803161621
2016-03-01,23.07095718383789
2016-03-02,23.094865798950195
2016-03-03,23.36319923400879
2016-03-04,23.405704498291016
2016-03-07,24.01675033569336
2016-03-09,23.804210662841797
2016-03-10,24.030033111572266
2016-03-11,23.974239349365234
2016-03-14,23.905168533325195
2016-03-15,23.860002517700195
2016-03-16,24.040658950805664
2016-03-17,24.019407272338867
2016-03-18,23.140031814575195
2016-03-21,23.07627296447754
2016-03-22,23.357881546020508
2016-03-23,23.403045654296875
2016-03-24,23.46149444580078
2016-03-25,23.44289779663086
2016-03-28,23.530569076538086
2016-03-29,23.647464752197266
2016-03-30,23.618244171142578
2016-03-31,23.88922691345215
2016-04-01,23.85734748840332
2016-04-04,23.931734085083008
2016-04-05,23.905168533325195
2016-04-06,23.769672393798828
2016-04-07,23.668720245361328
2016-04-08,23.488061904907227
2016-04-11,23.23301887512207
2016-04-12,23.0071964263916
2016-04-13,23.07627296447754
2016-04-14,23.2994327545166
2016-04-15,23.27020835876465
2016-04-18,23.07361602783203
2016-04-19,22.946090698242188
2016-04-20,22.996566772460938
2016-04-21,22.555553436279297
2016-04-22,22.688390731811523
2016-04-25,22.847793579101562
2016-04-26,22.898271560668945
2016-04-27,22.82122802734375
2016-04-28,22.688390731811523
2016-04-29,22.31644630432129
2016-05-04,21.774478912353516
2016-05-05,21.631013870239258
2016-05-06,21.774478912353516
2016-05-10,21.267045974731445
2016-05-11,21.80901527404785
2016-05-12,22.52633285522461
2016-05-13,21.74791145324707
2016-05-16,21.838239669799805
2016-05-17,22.521013259887695
2016-05-18,22.71495819091797
2016-05-19,22.449283599853516
2016-05-20,22.18095588684082
2016-05-23,22.175642013549805
2016-05-24,22.069374084472656
2016-05-25,21.89668846130371
2016-05-26,21.99233055114746
2016-05-27,22.103910446166992
2016-05-30,22.11453628540039
2016-05-31,22.02420997619629
2016-06-01,21.997644424438477
2016-06-02,21.524744033813477
2016-06-03,21.79041862487793
2016-06-06,22.117197036743164
2016-06-07,22.103910446166992
2016-06-08,21.75853729248047
2016-06-09,21.54599952697754
2016-06-10,21.17405891418457
2016-06-14,20.48331069946289
2016-06-15,20.24420738220215
2016-06-16,20.50456428527832
2016-06-17,20.642715454101562
2016-06-20,20.714447021484375
2016-06-21,20.50988006591797
2016-06-22,20.536447525024414
2016-06-23,20.462059020996094
2016-06-24,20.828685760498047
2016-06-27,20.59223747253418
2016-06-28,20.58692169189453
2016-06-29,20.403610229492188
2016-06-30,20.403610229492188
2016-07-01,20.512537002563477
2016-07-04,20.725072860717773
2016-07-05,21.00934410095215
2016-07-06,21.17405891418457
2016-07-07,20.982776641845703
2016-07-08,21.22719383239746
2016-07-11,21.519432067871094
2016-07-12,21.721343994140625
2016-07-13,21.779794692993164
2016-07-14,21.997644424438477
2016-07-15,22.967378616333008
2016-07-18,21.81900978088379
2016-07-19,20.606842041015625
2016-07-20,21.066190719604492
2016-07-21,21.356470108032227
2016-07-22,21.372417449951172
2016-07-25,21.665891647338867
2016-07-26,21.81900978088379
2016-07-27,21.633991241455078
2016-07-28,21.251205444335938
2016-07-29,20.798234939575195
2016-08-01,20.415443420410156
2016-08-02,19.90186882019043
2016-08-03,20.160253524780273
2016-08-04,20.479244232177734
2016-08-05,20.555801391601562
2016-08-08,20.587703704833984
2016-08-09,20.728059768676758
2016-08-10,20.862035751342773
2016-08-11,21.337331771850586
2016-08-12,21.448978424072266
2016-08-15,21.212923049926758
2016-08-16,20.980060577392578
2016-08-17,21.145936965942383
2016-08-18,21.027908325195312
2016-08-19,21.021530151367188
2016-08-22,21.085329055786133
2016-08-23,20.960920333862305
2016-08-24,20.670639038085938
2016-08-25,19.879541397094727
2016-08-26,20.17301368713379
2016-08-29,20.46648597717285
2016-08-30,20.431396484375
2016-08-31,20.887556076049805
2016-09-01,20.641929626464844
2016-09-02,20.629169464111328
2016-09-05,20.418638229370117
2016-09-06,20.230430603027344
2016-09-07,20.147493362426758
2016-09-08,19.917818069458008
2016-09-09,20.217670440673828
2016-09-12,20.0932674407959
2016-09-13,19.93695831298828
2016-09-14,19.780651092529297
2016-09-15,19.228797912597656
2016-09-16,18.769451141357422
2016-09-19,18.39942169189453
2016-09-20,18.970415115356445
2016-09-21,19.139480590820312
2016-09-22,19.216039657592773
2016-09-23,19.02783203125
2016-09-26,19.075681686401367
2016-09-27,19.01826286315918
2016-09-28,18.992746353149414
2016-09-29,18.79496955871582
