Date,FESH
2016-01-04,2.700000047683716
2016-01-05,2.7300000190734863
2016-01-06,2.75
2016-01-11,2.7100000381469727
2016-01-12,2.7200000286102295
2016-01-13,2.700000047683716
2016-01-14,2.700000047683716
2016-01-15,2.630000114440918
2016-01-18,2.630000114440918
2016-01-19,2.640000104904175
2016-01-20,2.630000114440918
2016-01-21,2.5999999046325684
2016-01-22,2.619999885559082
2016-01-25,2.619999885559082
2016-01-26,2.5899999141693115
2016-01-27,2.5999999046325684
2016-01-28,2.7300000190734863
2016-01-29,2.690000057220459
2016-02-01,2.609999895095825
2016-02-02,2.5950000286102295
2016-02-03,2.5850000381469727
2016-02-04,2.6050000190734863
2016-02-05,2.5950000286102295
2016-02-08,2.5950000286102295
2016-02-09,2.5999999046325684
2016-02-10,2.5399999618530273
2016-02-11,2.5250000953674316
2016-02-12,2.5850000381469727
2016-02-15,2.5950000286102295
2016-02-16,2.5899999141693115
2016-02-17,2.5799999237060547
2016-02-18,2.559999942779541
2016-02-19,2.559999942779541
2016-02-22,2.559999942779541
2016-02-24,2.494999885559082
2016-02-25,2.494999885559082
2016-02-26,2.490000009536743
2016-02-29,2.484999895095825
2016-03-01,2.5
2016-03-02,2.490000009536743
2016-03-03,2.5
2016-03-04,2.494999885559082
2016-03-07,2.490000009536743
2016-03-09,2.494999885559082
2016-03-10,2.5
2016-03-11,2.5350000858306885
2016-03-14,2.575000047683716
2016-03-15,2.634999990463257
2016-03-16,2.569999933242798
2016-03-17,2.505000114440918
2016-03-18,2.5250000953674316
2016-03-21,2.5250000953674316
2016-03-22,2.565000057220459
2016-03-23,2.615000009536743
2016-03-24,2.615000009536743
2016-03-25,2.7300000190734863
2016-03-28,2.7300000190734863
2016-03-29,2.6449999809265137
2016-03-30,2.700000047683716
2016-03-31,2.700000047683716
2016-04-01,2.684999942779541
2016-04-04,2.690000057220459
2016-04-05,2.6700000762939453
2016-04-06,2.7249999046325684
2016-04-07,2.694999933242798
2016-04-08,2.7100000381469727
2016-04-11,2.6700000762939453
2016-04-12,2.690000057220459
2016-04-13,2.674999952316284
2016-04-14,2.680000066757202
2016-04-15,2.690000057220459
2016-04-18,2.6700000762939453
2016-04-19,2.619999885559082
2016-04-20,2.5999999046325684
2016-04-21,2.615000009536743
2016-04-22,2.7149999141693115
2016-04-25,2.694999933242798
2016-04-26,2.700000047683716
2016-04-27,2.5799999237060547
2016-04-28,2.5399999618530273
2016-04-29,2.484999895095825
2016-05-04,2.369999885559082
2016-05-05,2.4049999713897705
2016-05-06,2.430000066757202
2016-05-10,2.380000114440918
2016-05-11,2.4000000953674316
2016-05-12,2.430000066757202
2016-05-13,2.4000000953674316
2016-05-16,2.375
2016-05-17,2.3350000381469727
2016-05-18,2.309999942779541
2016-05-19,2.259999990463257
2016-05-20,2.2899999618530273
2016-05-23,2.2799999713897705
2016-05-24,2.2799999713897705
2016-05-25,2.309999942779541
2016-05-26,2.2699999809265137
2016-05-27,2.25
2016-05-30,2.259999990463257
2016-05-31,2.234999895095825
2016-06-01,2.234999895095825
2016-06-02,2.1449999809265137
2016-06-03,2.0899999141693115
2016-06-06,2.0950000286102295
2016-06-07,2.049999952316284
2016-06-08,1.9049999713897705
2016-06-09,1.850000023841858
2016-06-10,1.774999976158142
2016-06-14,1.725000023841858
2016-06-15,1.7799999713897705
2016-06-16,1.75
2016-06-17,1.7300000190734863
2016-06-20,1.725000023841858
2016-06-21,1.6699999570846558
2016-06-22,1.6649999618530273
2016-06-23,1.6649999618530273
2016-06-24,1.7100000381469727
2016-06-27,1.7400000095367432
2016-06-28,1.7999999523162842
2016-06-29,1.774999976158142
2016-06-30,1.8849999904632568
2016-07-01,1.8799999952316284
2016-07-04,1.8949999809265137
2016-07-05,1.8300000429153442
2016-07-06,1.809999942779541
2016-07-07,1.7949999570846558
2016-07-08,1.7549999952316284
2016-07-11,1.8049999475479126
2016-07-12,1.934999942779541
2016-07-13,1.9149999618530273
2016-07-14,1.840000033378601
2016-07-15,1.8350000381469727
2016-07-18,1.8300000429153442
2016-07-19,1.7549999952316284
2016-07-20,1.7549999952316284
2016-07-21,1.7699999809265137
2016-07-22,1.7799999713897705
2016-07-25,1.815000057220459
2016-07-26,1.809999942779541
2016-07-27,1.8350000381469727
2016-07-28,1.8200000524520874
2016-07-29,1.7949999570846558
2016-08-01,1.774999976158142
2016-08-02,1.725000023841858
2016-08-03,1.7050000429153442
2016-08-04,1.7050000429153442
2016-08-05,1.690000057220459
2016-08-08,1.7400000095367432
2016-08-09,1.715000033378601
2016-08-10,1.7000000476837158
2016-08-11,1.7000000476837158
2016-08-12,1.6950000524520874
2016-08-15,1.7050000429153442
2016-08-16,1.6950000524520874
2016-08-17,1.7050000429153442
2016-08-18,1.7050000429153442
2016-08-19,1.690000057220459
2016-08-22,1.7000000476837158
2016-08-23,1.7000000476837158
2016-08-24,1.7599999904632568
2016-08-25,1.75
2016-08-26,1.7400000095367432
2016-08-29,1.7699999809265137
2016-08-30,1.7200000286102295
2016-08-31,1.725000023841858
2016-09-01,1.7599999904632568
2016-09-02,1.7999999523162842
2016-09-05,1.7949999570846558
2016-09-06,1.7400000095367432
2016-09-07,1.7400000095367432
2016-09-08,1.7549999952316284
2016-09-09,1.7649999856948853
2016-09-12,1.7599999904632568
2016-09-13,1.7450000047683716
2016-09-14,1.7400000095367432
2016-09-15,1.7400000095367432
2016-09-16,1.7300000190734863
2016-09-19,1.7200000286102295
2016-09-20,1.7200000286102295
2016-09-21,1.7000000476837158
2016-09-22,1.715000033378601
