Date,NKNCP
2016-01-04,10.419739723205566
2016-01-05,10.536553382873535
2016-01-06,10.60664176940918
2016-01-11,10.513190269470215
2016-01-12,10.58327865600586
2016-01-13,10.8402681350708
2016-01-14,10.816903114318848
2016-01-15,10.630002975463867
2016-01-18,10.58327865600586
2016-01-19,10.513190269470215
2016-01-20,10.46646499633789
2016-01-21,10.746816635131836
2016-01-22,10.700091361999512
2016-01-25,10.910355567932129
2016-01-26,10.910355567932129
2016-01-27,10.8402681350708
2016-01-28,10.933716773986816
2016-01-29,10.910355567932129
2016-02-01,10.8402681350708
2016-02-02,10.746816635131836
2016-02-03,10.933716773986816
2016-02-04,11.027168273925781
2016-02-05,10.933716773986816
2016-02-08,11.307519912719727
2016-02-09,11.49442195892334
2016-02-10,11.49442195892334
2016-02-11,11.284156799316406
2016-02-12,11.307519912719727
2016-02-15,11.47105884552002
2016-02-16,11.587871551513672
2016-02-17,11.541146278381348
2016-02-18,11.517784118652344
2016-02-19,11.447696685791016
2016-02-22,11.49442195892334
2016-02-24,11.517784118652344
2016-02-25,11.424332618713379
2016-02-26,11.400970458984375
2016-02-29,11.65796184539795
2016-03-01,11.844861030578613
2016-03-02,12.288750648498535
2016-03-03,12.335476875305176
2016-03-04,12.475652694702148
2016-03-07,12.779367446899414
2016-03-09,12.475652694702148
2016-03-10,12.545741081237793
2016-03-11,12.639190673828125
2016-03-14,12.569104194641113
2016-03-15,12.569104194641113
2016-03-16,14.952093124389648
2016-03-17,14.251214027404785
2016-03-18,14.32130241394043
2016-03-21,14.391387939453125
2016-03-22,14.204487800598145
2016-03-23,14.227851867675781
2016-03-24,14.227851867675781
2016-03-25,14.48483943939209
2016-03-28,15.068906784057617
2016-03-29,15.349258422851562
2016-03-30,15.16235637664795
2016-03-31,15.045543670654297
2016-04-01,15.022181510925293
2016-04-04,15.138995170593262
2016-04-05,15.045543670654297
2016-04-06,14.788554191589355
2016-04-07,14.858641624450684
2016-04-08,14.811918258666992
2016-04-11,14.83527946472168
2016-04-12,14.928730964660645
2016-04-13,14.83527946472168
2016-04-14,15.045543670654297
2016-04-15,15.582883834838867
2016-04-18,16.14358901977539
2016-04-19,16.307126998901367
2016-04-20,16.1903133392334
2016-04-21,16.12022590637207
2016-04-22,15.980048179626465
2016-04-25,16.026775360107422
2016-04-26,15.629610061645508
2016-04-27,15.559521675109863
2016-04-28,15.629610061645508
2016-04-29,15.382628440856934
2016-05-04,15.087324142456055
2016-05-05,14.926249504089355
2016-05-06,14.979941368103027
2016-05-10,14.711483001708984
2016-05-11,14.87255859375
2016-05-12,14.87255859375
2016-05-13,14.818866729736328
2016-05-16,15.114171028137207
2016-05-17,15.006787300109863
2016-05-18,15.087324142456055
2016-05-19,15.087324142456055
2016-05-20,15.194707870483398
2016-05-23,15.141016006469727
2016-05-24,15.060477256774902
2016-05-25,15.033632278442383
2016-05-26,15.006787300109863
2016-05-27,15.060477256774902
2016-05-30,14.979941368103027
2016-05-31,15.087324142456055
2016-06-01,15.141016006469727
2016-06-02,15.060477256774902
2016-06-03,15.141016006469727
2016-06-06,15.114171028137207
2016-06-07,15.194707870483398
2016-06-08,15.060477256774902
2016-06-09,15.060477256774902
2016-06-10,14.953095436096191
2016-06-14,14.953095436096191
2016-06-15,14.979941368103027
2016-06-16,14.89940357208252
2016-06-17,14.953095436096191
2016-06-20,14.926249504089355
2016-06-21,14.87255859375
2016-06-22,14.87255859375
2016-06-23,14.87255859375
2016-06-24,14.765174865722656
2016-06-27,14.765174865722656
2016-06-28,14.73832893371582
2016-06-29,14.684638977050781
2016-06-30,14.63094711303711
2016-07-01,14.657791137695312
2016-07-04,14.63094711303711
2016-07-05,14.604101181030273
2016-07-06,14.73832893371582
2016-07-07,14.818866729736328
2016-07-08,14.926249504089355
2016-07-11,15.087324142456055
2016-07-12,15.141016006469727
2016-07-13,15.221553802490234
2016-07-14,15.54370403289795
2016-07-15,15.81216049194336
2016-07-18,16.05377197265625
2016-07-19,15.865852355957031
2016-07-20,16.00008201599121
2016-07-21,15.973237037658691
2016-07-22,15.973237037658691
2016-07-25,15.946390151977539
2016-07-26,16.05377197265625
2016-07-27,16.134309768676758
2016-07-28,16.161155700683594
2016-07-29,16.107465744018555
2016-08-01,16.155786514282227
2016-08-02,16.107465744018555
2016-08-03,16.52625846862793
2016-08-04,16.945053100585938
2016-08-05,17.465858459472656
2016-08-08,17.583982467651367
2016-08-09,17.460491180419922
2016-08-10,17.455123901367188
2016-08-11,17.583982467651367
2016-08-12,17.82022476196289
2016-08-15,17.906131744384766
2016-08-16,17.922239303588867
2016-08-17,16.171894073486328
2016-08-18,16.18800163269043
2016-08-19,15.785314559936523
2016-08-22,16.354446411132812
2016-08-23,16.5477352142334
2016-08-24,16.349077224731445
2016-08-25,16.273908615112305
2016-08-26,16.343708038330078
2016-08-29,16.47256851196289
2016-08-30,16.365182876586914
2016-08-31,16.477935791015625
2016-09-01,16.456459045410156
2016-09-02,16.424243927001953
2016-09-05,16.230955123901367
2016-09-06,16.32223129272461
2016-09-07,16.429615020751953
2016-09-08,16.332969665527344
2016-09-09,16.982637405395508
2016-09-12,17.37995147705078
2016-09-13,17.29941749572754
2016-09-14,17.310155868530273
2016-09-15,17.664520263671875
2016-09-16,17.583982467651367
2016-09-19,17.551767349243164
2016-09-20,17.476598739624023
2016-09-21,17.304784774780273
2016-09-22,17.342370986938477
2016-09-23,17.583982467651367
2016-09-26,17.50344467163086
2016-09-27,17.38532257080078
2016-09-28,17.2510929107666
2016-09-29,17.72357940673828
