Date,Adj Close
2015-01-05,761.3
2015-01-06,746.48
2015-01-08,812.02
2015-01-09,782.62
2015-01-12,756.63
2015-01-13,737.88
2015-01-14,743.06
2015-01-15,762.39
2015-01-16,769.8
2015-01-19,766.57
2015-01-20,756.27
2015-01-21,782.13
2015-01-22,817.14
2015-01-23,820.99
2015-01-26,781.31
2015-01-27,783.53
2015-01-28,765.37
2015-01-29,747.45
2015-01-30,737.35
2015-02-02,745.82
2015-02-03,786.69
2015-02-04,770.63
2015-02-05,804.5
2015-02-06,826.4
2015-02-09,840.48
2015-02-10,825.89
2015-02-11,832.33
2015-02-12,861.93
2015-02-13,914.05
2015-02-16,897.35
2015-02-17,894.61
2015-02-18,929.35
2015-02-19,906.51
2015-02-20,910.42
2015-02-24,888.69
2015-02-25,883.88
2015-02-26,911.98
2015-02-27,896.63
2015-03-02,903.56
2015-03-03,917.05
2015-03-04,889.68
2015-03-05,912.38
2015-03-06,903.45
2015-03-10,845.36
2015-03-11,847.98
2015-03-12,859.26
2015-03-13,833.57
2015-03-16,812.88
2015-03-17,822.76
2015-03-18,841.05
2015-03-19,847.99
2015-03-20,862.14
2015-03-23,859.14
2015-03-24,880.28
2015-03-25,882.07
2015-03-26,868.62
2015-03-27,856.44
2015-03-30,878.94
2015-03-31,880.42
2015-04-01,910.41
2015-04-02,933.58
2015-04-03,930.12
2015-04-06,971.08
2015-04-07,971.24
2015-04-08,988.3
2015-04-09,1003.42
2015-04-10,999.38
2015-04-13,1004.62
2015-04-14,1015.51
2015-04-15,1052.33
2015-04-16,1061.6
2015-04-17,998.96
2015-04-20,995.7
2015-04-21,1007.69
2015-04-22,1004.0
2015-04-23,1028.47
2015-04-24,1037.52
2015-04-27,1022.78
2015-04-28,1029.71
2015-04-29,1031.78
2015-04-30,1029.31
2015-05-05,1072.93
2015-05-06,1066.19
2015-05-07,1060.73
2015-05-08,1059.52
2015-05-12,1070.19
2015-05-13,1082.21
2015-05-14,1054.9
2015-05-15,1074.73
2015-05-18,1075.47
2015-05-19,1057.6
2015-05-20,1031.97
2015-05-21,1047.47
2015-05-22,1051.21
2015-05-25,1041.58
2015-05-26,1025.16
2015-05-27,1012.21
2015-05-28,990.87
2015-05-29,968.81
2015-06-01,953.88
2015-06-02,973.45
2015-06-03,947.28
2015-06-04,922.63
2015-06-05,922.67
2015-06-08,923.23
2015-06-09,943.54
2015-06-10,958.97
2015-06-11,950.38
2015-06-15,957.38
2015-06-16,978.29
2015-06-17,966.55
2015-06-18,981.82
2015-06-19,966.9
2015-06-22,978.85
2015-06-23,964.32
2015-06-24,951.45
2015-06-25,941.32
2015-06-26,943.01
2015-06-29,928.03
2015-06-30,939.93
2015-07-01,930.66
2015-07-02,932.04
2015-07-03,919.61
2015-07-06,902.88
2015-07-07,885.78
2015-07-08,875.67
2015-07-09,889.76
2015-07-10,905.2
2015-07-13,915.47
2015-07-14,919.79
2015-07-15,909.45
2015-07-16,919.81
2015-07-17,912.44
2015-07-20,900.65
2015-07-21,905.33
2015-07-22,901.76
2015-07-23,884.47
2015-07-24,859.12
2015-07-27,840.37
2015-07-28,839.25
2015-07-29,865.84
2015-07-30,867.74
2015-07-31,858.82
2015-08-03,834.89
2015-08-04,837.43
2015-08-05,843.9
2015-08-06,820.43
2015-08-07,832.47
2015-08-10,848.08
2015-08-11,830.33
2015-08-12,831.57
2015-08-13,828.93
2015-08-14,835.17
2015-08-17,825.12
2015-08-18,809.64
2015-08-19,794.19
2015-08-20,795.51
2015-08-21,762.38
2015-08-24,724.73
2015-08-25,758.46
2015-08-26,754.61
2015-08-27,804.86
2015-08-28,829.95
2015-08-31,833.6
2015-09-01,805.06
2015-09-02,789.39
2015-09-03,805.23
2015-09-04,793.65
2015-09-07,776.17
2015-09-08,793.99
2015-09-09,796.69
2015-09-10,800.49
2015-09-11,799.1
2015-09-14,808.61
2015-09-15,807.52
2015-09-16,837.39
2015-09-17,823.13
2015-09-18,816.56
2015-09-21,808.78
2015-09-22,789.56
2015-09-23,782.07
2015-09-24,769.38
2015-09-25,788.55
2015-09-28,775.73
2015-09-29,784.11
2015-09-30,789.73
2015-10-01,781.65
2015-10-02,764.93
2015-10-05,805.12
