Date,BELU
2016-01-04,451.47955322265625
2016-01-05,451.47955322265625
2016-01-06,443.17010498046875
2016-01-11,452.40283203125
2016-01-12,444.0933532714844
2016-01-13,448.709716796875
2016-01-14,439.4770202636719
2016-01-15,436.70721435546875
2016-01-18,434.86065673828125
2016-01-19,434.86065673828125
2016-01-20,434.86065673828125
2016-01-21,431.1676025390625
2016-01-22,443.17010498046875
2016-01-25,444.0933532714844
2016-01-26,444.0933532714844
2016-01-27,432.0908508300781
2016-01-28,432.0908508300781
2016-01-29,415.4719543457031
2016-02-01,420.08831787109375
2016-02-02,432.0908508300781
2016-02-03,437.6304931640625
2016-02-04,438.55377197265625
2016-02-05,441.32354736328125
2016-02-08,445.93994140625
2016-02-09,447.7864685058594
2016-02-10,438.55377197265625
2016-02-11,437.6304931640625
2016-02-12,437.6304931640625
2016-02-15,433.9374084472656
2016-02-16,433.9374084472656
2016-02-17,437.6304931640625
2016-02-18,429.3210144042969
2016-02-19,433.9374084472656
2016-02-22,433.9374084472656
2016-02-24,433.0141296386719
2016-02-25,435.7839660644531
2016-02-26,433.0141296386719
2016-02-29,433.9374084472656
2016-03-01,428.39776611328125
2016-03-02,433.0141296386719
2016-03-03,433.0141296386719
2016-03-04,433.9374084472656
2016-03-07,429.3210144042969
2016-03-09,413.62542724609375
2016-03-10,415.4719543457031
2016-03-11,416.395263671875
2016-03-14,415.4719543457031
2016-03-15,420.08831787109375
2016-03-16,414.5486755371094
2016-03-17,406.2392883300781
2016-03-18,406.2392883300781
2016-03-21,406.2392883300781
2016-03-22,412.7021789550781
2016-03-23,404.3927307128906
2016-03-24,412.7021789550781
2016-03-25,410.8555908203125
2016-03-28,403.469482421875
2016-03-29,394.23675537109375
2016-03-30,398.85308837890625
2016-03-31,392.3902282714844
2016-04-01,412.7021789550781
2016-04-04,403.469482421875
2016-04-05,398.85308837890625
2016-04-06,397.9298400878906
2016-04-07,396.083251953125
2016-04-08,397.0065612792969
2016-04-11,398.85308837890625
2016-04-12,415.4719543457031
2016-04-13,417.3185119628906
2016-04-14,414.5486755371094
2016-04-15,419.1650695800781
2016-04-18,426.55120849609375
2016-04-19,415.4719543457031
2016-04-20,410.8555908203125
2016-04-21,413.62542724609375
2016-04-22,413.62542724609375
2016-04-25,426.55120849609375
2016-04-26,414.5486755371094
2016-04-27,416.395263671875
2016-04-28,405.31597900390625
2016-04-29,407.1625671386719
2016-05-04,407.1625671386719
2016-05-05,415.4719543457031
2016-05-06,409.00909423828125
2016-05-10,414.5486755371094
2016-05-11,408.0858154296875
2016-05-12,406.2392883300781
2016-05-13,409.00909423828125
2016-05-16,412.7021789550781
2016-05-17,412.7021789550781
2016-05-18,409.9323425292969
2016-05-19,397.0065612792969
2016-05-20,400.69964599609375
2016-05-23,400.69964599609375
2016-05-24,399.7763366699219
2016-05-25,401.6229248046875
2016-05-26,397.9298400878906
2016-05-27,397.9298400878906
2016-05-30,399.7763366699219
2016-05-31,396.083251953125
2016-06-01,400.69964599609375
2016-06-02,395.1600036621094
2016-06-03,385.0039978027344
2016-06-06,391.4669494628906
2016-06-07,385.0039978027344
2016-06-08,388.6971435546875
2016-06-09,378.5411376953125
2016-06-10,385.92730712890625
2016-06-14,373.00152587890625
2016-06-15,369.30841064453125
2016-06-16,363.768798828125
2016-06-17,368.3851623535156
2016-06-20,368.3851623535156
2016-06-21,368.3851623535156
2016-06-22,368.3851623535156
2016-06-23,367.4618835449219
2016-06-24,360.0757141113281
2016-06-27,370.2317199707031
2016-06-28,378.5411376953125
2016-06-29,366.53857421875
2016-06-30,364.69207763671875
2016-07-01,365.6153259277344
2016-07-04,376.6946105957031
2016-07-05,370.2317199707031
2016-07-06,364.69207763671875
2016-07-07,366.53857421875
2016-07-08,368.3851623535156
2016-07-11,367.4618835449219
2016-07-12,363.768798828125
2016-07-13,368.3851623535156
2016-07-14,365.6153259277344
2016-07-15,367.4618835449219
2016-07-18,364.69207763671875
2016-07-19,361.9222717285156
2016-07-20,364.69207763671875
2016-07-21,360.0757141113281
2016-07-22,360.0757141113281
2016-07-25,362.8455505371094
2016-07-26,362.8455505371094
2016-07-27,358.22918701171875
2016-07-28,358.22918701171875
2016-07-29,358.22918701171875
2016-08-01,358.22918701171875
2016-08-02,407.1625671386719
2016-08-03,404.3927307128906
2016-08-04,408.0858154296875
2016-08-05,450.5563049316406
2016-08-08,483.7940673828125
2016-08-09,489.3336181640625
2016-08-10,518.8782958984375
2016-08-11,525.3412475585938
2016-08-12,550.26953125
2016-08-15,557.65576171875
2016-08-16,565.0419311523438
2016-08-17,527.187744140625
2016-08-18,541.036865234375
2016-08-19,554.8859252929688
2016-08-22,558.5789794921875
2016-08-23,553.962646484375
2016-08-24,563.1954345703125
2016-08-25,534.5739135742188
2016-08-26,526.2645263671875
2016-08-29,525.3412475585938
2016-08-30,505.02923583984375
2016-08-31,527.187744140625
2016-09-01,535.4972534179688
2016-09-02,542.88330078125
2016-09-05,544.7299194335938
2016-09-06,559.5022583007812
2016-09-07,553.962646484375
2016-09-08,553.962646484375
2016-09-09,553.962646484375
2016-09-12,553.962646484375
2016-09-13,553.962646484375
2016-09-14,553.962646484375
2016-09-15,553.962646484375
2016-09-16,553.0393676757812
2016-09-19,566.888427734375
2016-09-20,573.351318359375
2016-09-21,573.351318359375
2016-09-22,587.2003784179688
2016-09-23,607.5123291015625
2016-09-26,610.2822265625
2016-09-27,612.1287231445312
2016-09-28,613.9752197265625
2016-09-29,613.9752197265625
2016-09-30,613.052001953125
2016-10-03,668.4482421875
2016-10-04,639.826904296875
2016-10-05,661.0621337890625
2016-10-06,654.5991821289062
2016-10-07,655.5224609375
2016-10-10,650.906005859375
2016-10-11,667.5249633789062
2016-10-12,643.5198974609375
2016-10-13,662.9086303710938
2016-10-14,662.9086303710938
2016-10-17,662.9086303710938
2016-10-18,662.9086303710938
2016-10-19,643.5198974609375
2016-10-20,629.6708984375
2016-10-21,629.6708984375
2016-10-24,632.4406127929688
2016-10-25,632.4406127929688
2016-10-26,632.4406127929688
2016-10-27,615.8218994140625
2016-10-28,625.0545043945312
2016-10-31,612.1287231445312
2016-11-01,624.1312866210938
2016-11-02,624.1312866210938
2016-11-03,623.2079467773438
2016-11-07,618.5916137695312
2016-11-08,618.5916137695312
2016-11-09,618.5916137695312
2016-11-10,618.5916137695312
2016-11-11,606.589111328125
2016-11-14,612.1287231445312
2016-11-15,586.2771606445312
2016-11-16,599.2029418945312
2016-11-17,599.2029418945312
2016-11-18,600.126220703125
2016-11-21,569.6582641601562
2016-11-22,555.8091430664062
2016-11-23,555.8091430664062
2016-11-24,563.1954345703125
2016-11-25,574.2745971679688
2016-11-28,597.3563842773438
2016-11-29,608.4356079101562
2016-11-30,575.1978759765625
2016-12-01,583.50732421875
2016-12-02,569.6582641601562
2016-12-05,568.7349853515625
2016-12-06,568.7349853515625
2016-12-07,559.5022583007812
2016-12-08,560.425537109375
2016-12-09,554.8859252929688
2016-12-12,531.8040771484375
2016-12-13,584.4306030273438
2016-12-14,583.50732421875
2016-12-15,612.1287231445312
2016-12-16,565.965087890625
2016-12-19,588.1236572265625
2016-12-20,611.2054443359375
2016-12-21,600.126220703125
2016-12-22,600.126220703125
2016-12-23,600.126220703125
2016-12-26,589.0469360351562
2016-12-27,593.6632690429688
2016-12-28,619.5148315429688
2016-12-29,589.0469360351562
2016-12-30,577.9676513671875
2017-01-03,583.50732421875
2017-01-04,583.50732421875
2017-01-05,583.50732421875
2017-01-06,576.1211547851562
2017-01-09,589.9701538085938
2017-01-10,581.6608276367188
2017-01-11,590.8934326171875
2017-01-12,577.9676513671875
2017-01-13,554.8859252929688
2017-01-16,573.351318359375
2017-01-17,568.7349853515625
2017-01-18,576.1211547851562
2017-01-19,570.58154296875
2017-01-20,579.814208984375
2017-01-23,579.814208984375
2017-01-24,568.7349853515625
2017-01-25,568.7349853515625
2017-01-26,568.7349853515625
2017-01-27,568.7349853515625
2017-01-30,574.2745971679688
2017-01-31,574.2745971679688
2017-02-01,563.1954345703125
2017-02-02,564.1185913085938
2017-02-03,558.5789794921875
2017-02-06,568.7349853515625
2017-02-07,563.1954345703125
2017-02-08,578.8909912109375
2017-02-09,572.4280395507812
2017-02-10,572.4280395507812
2017-02-13,563.1954345703125
2017-02-14,575.1978759765625
2017-02-15,574.2745971679688
2017-02-16,555.8091430664062
