Date,MVID
2016-01-04,203.01889038085938
2016-01-05,205.34642028808594
2016-01-06,206.39755249023438
2016-01-11,191.75674438476562
2016-01-12,187.92764282226562
2016-01-13,190.48037719726562
2016-01-14,189.72958374023438
2016-01-15,189.12893676757812
2016-01-18,188.4532012939453
2016-01-19,191.38134765625
2016-01-20,191.30628967285156
2016-01-21,188.22796630859375
2016-01-22,186.65126037597656
2016-01-25,186.2007598876953
2016-01-26,184.0985107421875
2016-01-27,185.07455444335938
2016-01-28,187.70237731933594
2016-01-29,195.13539123535156
2016-02-01,193.25839233398438
2016-02-02,197.23768615722656
2016-02-03,194.45968627929688
2016-02-04,198.88943481445312
2016-02-05,199.33995056152344
2016-02-08,196.93734741210938
2016-02-09,195.73606872558594
2016-02-10,190.10498046875
2016-02-11,187.55223083496094
2016-02-12,180.41952514648438
2016-02-15,176.9658203125
2016-02-16,178.16709899902344
2016-02-17,179.21823120117188
2016-02-18,179.66873168945312
2016-02-19,182.4467315673828
2016-02-22,181.9962158203125
2016-02-24,183.19754028320312
2016-02-25,181.39559936523438
2016-02-26,180.8699951171875
2016-02-29,181.62081909179688
2016-03-01,181.8460693359375
2016-03-02,182.82212829589844
2016-03-03,183.7230987548828
2016-03-04,183.94833374023438
2016-03-07,186.2007598876953
2016-03-09,188.3780975341797
2016-03-10,189.50433349609375
2016-03-11,192.2823486328125
2016-03-14,192.507568359375
2016-03-15,198.73928833007812
2016-03-16,197.16259765625
2016-03-17,199.18975830078125
2016-03-18,188.67845153808594
2016-03-21,189.12893676757812
2016-03-22,189.6544952392578
2016-03-23,194.45968627929688
2016-03-24,192.58265686035156
2016-03-25,196.33670043945312
2016-03-28,193.93411254882812
2016-03-29,196.93734741210938
2016-03-30,196.7121124267578
2016-03-31,200.0156707763672
2016-04-01,198.1386260986328
2016-04-04,197.76321411132812
2016-04-05,194.8350830078125
2016-04-06,195.5858917236328
2016-04-07,193.93411254882812
2016-04-08,194.91017150878906
2016-04-11,195.3606414794922
2016-04-12,194.91017150878906
2016-04-13,193.33346557617188
2016-04-14,196.56192016601562
2016-04-15,202.94381713867188
2016-04-18,210.6771697998047
2016-04-19,213.60533142089844
2016-04-20,218.0350799560547
2016-04-21,219.38658142089844
2016-04-22,221.038330078125
2016-04-25,221.7140350341797
2016-04-26,228.77169799804688
2016-04-27,225.31796264648438
2016-04-28,222.23963928222656
2016-04-29,224.49209594726562
2016-05-04,224.266845703125
2016-05-05,224.49209594726562
2016-05-06,224.64224243164062
2016-05-10,222.23963928222656
2016-05-11,222.76522827148438
2016-05-12,223.36585998535156
2016-05-13,223.81634521484375
2016-05-16,223.81634521484375
2016-05-17,225.2428741455078
2016-05-18,221.93930053710938
2016-05-19,222.9904327392578
2016-05-20,226.4441680908203
2016-05-23,223.66615295410156
2016-05-24,222.16455078125
2016-05-25,222.9153594970703
2016-05-26,223.36585998535156
2016-05-27,224.49209594726562
2016-05-30,222.5399627685547
2016-05-31,219.2364044189453
2016-06-01,218.78590393066406
2016-06-02,219.91212463378906
2016-06-03,220.88818359375
2016-06-06,222.9153594970703
2016-06-07,222.9153594970703
2016-06-08,220.88818359375
2016-06-09,219.5366973876953
2016-06-10,221.11343383789062
2016-06-14,224.266845703125
2016-06-15,227.49530029296875
2016-06-16,228.9969024658203
2016-06-17,221.5638885498047
2016-06-20,230.0480499267578
2016-06-21,230.87391662597656
2016-06-22,227.87069702148438
2016-06-23,236.42994689941406
2016-06-24,230.57362365722656
2016-06-27,235.60403442382812
2016-06-28,240.25904846191406
2016-06-29,261.7221984863281
2016-06-30,241.6205291748047
2016-07-01,239.6984405517578
2016-07-04,240.09886169433594
2016-07-05,237.61624145507812
2016-07-06,235.053466796875
2016-07-07,230.64869689941406
2016-07-08,229.6075897216797
2016-07-11,232.1703338623047
2016-07-12,241.0599365234375
2016-07-13,242.66163635253906
2016-07-14,236.25474548339844
2016-07-15,238.89756774902344
2016-07-18,242.9819793701172
2016-07-19,253.47328186035156
2016-07-20,252.1919403076172
2016-07-21,252.1919403076172
2016-07-22,252.1919403076172
2016-07-25,250.59022521972656
2016-07-26,252.9927978515625
2016-07-27,257.7979736328125
2016-07-28,263.4841003417969
2016-07-29,257.4776306152344
2016-08-01,255.71572875976562
2016-08-02,253.39321899414062
2016-08-03,252.67245483398438
2016-08-04,257.7979736328125
2016-08-05,256.5966796875
2016-08-08,255.39540100097656
2016-08-09,255.63563537597656
2016-08-10,260.2806396484375
2016-08-11,266.68756103515625
2016-08-12,276.29791259765625
2016-08-15,275.8974914550781
2016-08-16,276.9385986328125
2016-08-17,279.5013732910156
2016-08-18,279.5013732910156
2016-08-19,275.5771179199219
2016-08-22,285.6680603027344
2016-08-23,279.82171630859375
2016-08-24,280.3022155761719
2016-08-25,292.155029296875
2016-08-26,278.7005310058594
2016-08-29,276.29791259765625
2016-08-30,277.73944091796875
2016-08-31,277.3390197753906
2016-09-01,281.7437744140625
2016-09-02,285.4277648925781
2016-09-05,288.3909606933594
2016-09-06,293.7567443847656
2016-09-07,295.5987243652344
2016-09-08,296.3194885253906
2016-09-09,295.1181945800781
2016-09-12,280.54248046875
2016-09-13,290.0727844238281
2016-09-14,294.4775390625
2016-09-15,290.15283203125
2016-09-16,286.0684509277344
2016-09-19,280.3022155761719
2016-09-20,276.29791259765625
2016-09-21,281.9039611816406
2016-09-22,281.3433532714844
2016-09-23,274.3758544921875
2016-09-26,270.93212890625
2016-09-27,267.5685119628906
2016-09-28,269.5706481933594
2016-09-29,273.494873046875
2016-09-30,275.01654052734375
