Date,Adj Close
2015-01-05,592.501
2015-01-06,610.0
2015-01-08,610.0
2015-01-09,600.56
2015-01-12,582.023
2015-01-13,560.371
2015-01-14,600.0
2015-01-15,610.5
2015-01-16,627.5
2015-01-19,634.4
2015-01-20,620.0
2015-01-21,621.015
2015-01-22,637.0
2015-01-23,635.0
2015-01-26,617.926
2015-01-27,617.5
2015-01-28,617.0
2015-01-29,620.0
2015-01-30,630.0
2015-02-02,655.0
2015-02-03,665.0
2015-02-04,659.002
2015-02-05,650.0
2015-02-06,690.0
2015-02-09,691.0
2015-02-10,682.001
2015-02-11,681.0
2015-02-12,687.5
2015-02-13,703.625
2015-02-16,710.503
2015-02-17,690.0
2015-02-18,707.5
2015-02-19,696.5
2015-02-20,685.0
2015-02-24,660.0
2015-02-25,662.5
2015-02-26,665.0
2015-02-27,658.0
2015-03-02,646.0
2015-03-03,660.0
2015-03-04,665.0
2015-03-05,665.0
2015-03-06,663.5
2015-03-10,660.0
2015-03-11,662.4
2015-03-12,667.0
2015-03-13,662.4
2015-03-16,647.4
2015-03-17,640.0
2015-03-18,640.0
2015-03-19,652.5
2015-03-20,664.805
2015-03-23,664.55
2015-03-24,674.0
2015-03-25,692.459
2015-03-26,707.0
2015-03-27,705.0
2015-03-30,705.264
2015-03-31,696.99
2015-04-01,717.493
2015-04-02,710.0
2015-04-03,720.0
2015-04-06,725.0
2015-04-07,720.602
2015-04-08,725.0
2015-04-09,742.966
2015-04-10,747.0
2015-04-13,749.0
2015-04-14,757.5
2015-04-15,780.0
2015-04-16,778.0
2015-04-17,760.05
2015-04-20,758.5
2015-04-21,754.0
2015-04-22,808.8
2015-04-23,760.0
2015-04-24,753.18
2015-04-27,749.673
2015-04-28,753.0
2015-04-29,760.999
2015-04-30,773.5
2015-05-05,779.99
2015-05-06,784.0
2015-05-07,779.99
2015-05-08,776.0
2015-05-12,774.25
2015-05-13,773.817
2015-05-14,773.5
2015-05-15,776.5
2015-05-18,781.0
2015-05-19,765.137
2015-05-20,776.0
2015-05-21,783.0
2015-05-22,787.499
2015-05-25,786.0
2015-05-26,781.5
2015-05-27,779.495
2015-05-28,770.0
2015-05-29,775.999
2015-06-01,774.75
2015-06-02,779.5
2015-06-03,772.5
2015-06-04,756.999
2015-06-05,752.5
2015-06-08,756.0
2015-06-09,765.0
2015-06-10,777.5
2015-06-11,767.001
2015-06-15,770.0
2015-06-16,762.5
2015-06-17,755.667
2015-06-18,760.0
2015-06-19,756.626
2015-06-22,761.0
2015-06-23,759.0
2015-06-24,759.0
2015-06-25,757.5
2015-06-26,758.0
2015-06-29,748.0
2015-06-30,754.0
2015-07-01,754.481
2015-07-02,756.999
2015-07-03,755.266
2015-07-06,748.5
2015-07-07,746.0
2015-07-08,748.0
2015-07-09,751.5
2015-07-10,759.0
2015-07-13,762.0
2015-07-14,766.002
2015-07-15,770.0
2015-07-16,785.6
2015-07-17,787.347
2015-07-20,780.1
2015-07-21,779.755
2015-07-22,777.0
2015-07-23,773.5
2015-07-24,766.034
2015-07-27,752.507
2015-07-28,755.0
2015-07-29,770.0
2015-07-30,770.0
2015-07-31,769.333
2015-08-03,761.5
2015-08-04,760.577
2015-08-05,763.0
2015-08-06,763.31
2015-08-07,760.0
2015-08-10,761.001
2015-08-11,755.9
2015-08-12,754.0
2015-08-13,753.9
2015-08-14,753.964
2015-08-17,751.4
2015-08-18,748.973
2015-08-19,745.834
2015-08-20,732.519
2015-08-21,715.499
2015-08-24,695.655
2015-08-25,717.367
2015-08-26,713.0
2015-08-27,725.0
2015-08-28,732.0
2015-08-31,727.085
2015-09-01,723.8
2015-09-02,723.693
2015-09-03,726.4
2015-09-04,725.001
2015-09-07,722.019
2015-09-08,727.0
2015-09-09,730.0
2015-09-10,730.0
2015-09-11,731.494
2015-09-14,732.1
2015-09-15,735.1
2015-09-16,743.0
2015-09-17,740.051
2015-09-18,747.5
2015-09-21,752.0
2015-09-22,750.4
2015-09-23,752.5
2015-09-24,746.003
2015-09-25,751.5
2015-09-28,750.0
2015-09-29,751.4
2015-09-30,754.864
2015-10-01,755.706
2015-10-02,757.5
2015-10-05,766.0
2015-10-06,780.0
2015-10-07,782.05
2015-10-08,787.0
2015-10-09,788.5
2015-10-12,787.398
2015-10-13,785.8
2015-10-14,790.0
2015-10-15,792.0
2015-10-16,806.3
2015-10-19,802.5
2015-10-20,802.497
2015-10-21,800.9
2015-10-22,806.5
2015-10-23,812.4
2015-10-26,808.508
2015-10-27,801.0
2015-10-28,809.0
2015-10-29,806.987
2015-10-30,807.0
